Price,Screen Size,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Average Battery Life (in hours),Hardware Platform,Rear Webcam Resolution,Power Source,Voltage,Memory Speed,California residents,Graphics Card Ram Size,National Stock Number,Package Dimensions,Audio-out Ports (#),Battery Type,Screen Resolution Width,Screen Resolution Height
499.0,15.6,3.4 GHz Intel Core i5,8 GB DDR4,1000 GB Hybrid Drive,Intel HD Graphics 620,Intel,Integrated,802.11ac,2.0,2.0,ASUS,Asus VivoBook F510,F510UA-AH55,Windows 10 Home,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.8 inches,Grey,Intel Core i5,4.0,DDR4 SDRAM,128.0,Serial ATA,5400 RPM,No Optical Drive,1 Lithium ion batteries required. (included),5 hours,PC,,,,,,,,,,,1920,1080
340.0,10.5,2.35 GHz 8032,64 GB,Flash Memory Solid State,Adreno 540,,Dedicated,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,1.0,Samsung,Galaxy Tab,SM-T830NZKAXAR,Android O,1.06 pounds,9.8 x 6.5 x 0.3 inches,9.81 x 6.47 x 0.28 inches,Black,Qualcomm,8.0,,4 GB,,,None,1 Lithium Polymer batteries required. (included),10 years,,13 MP,Corded-Electric,,,,,,,,,2560,1600
399.0,11.6,Intel Core i5,4 GB DDR3,128 GB flash_memory_solid_state,Intel HD Graphics 6000,intel,Integrated,"802.11abg"", 802.11a/b/g/n,"" 802.11a",,,Apple,MacBook Air,Apple,Mac OS X,2.3 pounds,7.6 x 11.8 x 0.7 inches,7.6 x 11.8 x 0.7 inches,,Intel,2.0,DDR3 SDRAM,128 GB,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,1366,768
595.0,15.6,1.6 GHz Intel Core i5,12 GB DDR,256 GB Hybrid,Intel Integrated UHD 620 Graphics,Intel,,Bluetooth,,,Dell,Dell Inspiron 15 5000,Dell Inspiron i5584,Windows 10 Home,4.63 pounds,9.8 x 14.3 x 0.9 inches,9.79 x 14.35 x 0.88 inches,Nature Silver,Intel,4.0,DDR SDRAM,256 GB,Solid State,,,1 Lithium ion batteries required. (included),,"business"","" school and home Laptop",,AC & Battery,,,,,,,,,1920,1080
859.0,12.3,2.9 GB 8032,256 GB,256 GB,Intel Integrated,,Integrated,"802.11a/b/g/n/ac"","" Bluetooth",,1.0,Microsoft,Surface Pro 6,LJM-00028,Windows 10 Home,3.15 pounds,9.4 x 13.1 x 2.2 inches,9.41 x 13.11 x 2.24 inches,Black,Intel,4.0,DDR3 SDRAM,256 GB,,,,1 Lithium ion batteries required. (included),13.5 hours,,8 MP,Battery,,,,,,,,,2736,1824
122.22,11.6,1.6 GHz Intel Celeron,4 GB DDR3L,16 GB Embedded MultiMediaCard,Intel HD Graphics,Intel,Integrated,802.11ac,,2.0,ASUS,Chromebook,C202SA-YS02,Chrome OS,2.2 pounds,11.6 x 0.9 x 7.9 inches,11.6 x 0.9 x 7.9 inches,N3060 | 16G | Ruggedized,Intel,2.0,DDR3L-1600 SDRAM,16,Solid State,10000,No Optical Drive,1 Lithium Metal batteries required. (included),10 hours,,,,19 volts,,,4,,,,,1366,768
599.99,23.8,3.4 GHz Intel Core i5,8 GB DDR4,1 TB Mechanical Hard Drive,,,Integrated,,2.0,2.0,Acer,C24-865-UA91,C24-865-UA91,Windows 10 Home,13.85 pounds,21.3 x 0.5 x 12.6 inches,21.26 x 0.46 x 12.64 inches,Silver,Intel,,DDR4 SDRAM,,Serial ATA,5400 RPM,None,,,,,,,,,0.1,,,,,1920,1080
319.99,14.0,3.4 GHz core_m,8 GB DDR3L,64 GB Embedded MultiMediaCard,Intel HD Graphics 615,NVIDIA,Integrated,"802.11a/b/g/n/ac"","" Bluetooth",,3.0,ASUS,Chromebook C425,C425TA-DH384,Chrome OS,2.9 pounds,12.6 x 8.2 x 0.7 inches,12.6 x 8.2 x 0.7 inches,,Intel,2.0,DDR3 SDRAM,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,,,8 GB,,,,,1920,1080
609.0,11.0,0.1 GHz,0.1 GB,64 GB Flash Memory Solid State,A12X,,Integrated,"802.11b"", 802.11g,"" 802.11n",,,APPLE,iPad Pro,,A,1.03 pounds,10.1 x 1.9 x 7.4 inches,10.1 x 1.95 x 7.37 inches,Space Gray,Apple,1.0,DDR4 SDRAM,64 GB,,,,1 Lithium ion batteries required. (included),6 hours,,264 pixels,Battery,,,,,,,,,2388,1668
99.99,10.1,1.5 GHz,2 GB,32 GB,MALI-G31,,MALI-G31,802.11bgn,1.0,,vankyo,Z4,Z4,Android 9 Pie,1.08 pounds,9.8 x 6.7 x 0.3 inches,9.84 x 6.73 x 0.35 inches,Black,Rockchip,4.0,DDR3 SDRAM,32 GB,,,,1 Lithium ion batteries required. (included),8 hours,Android,8 MP,DC,,,,,,,,,1280,800
