Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,,
$158.99	11.6 inches	1366 x 768 pixels	1.44 GHz Intel Atom	4 GB DDR3	32 GB emmc	Intel Integrated Graphics	intel	Integrated	802.11ac	1	1	ASUS	VivoBook	E200HA-UB02-GD	Windows 10	2.2 pounds	7.6 x 11.3 x 0.7 inches	7.6 x 11.3 x 0.7 inches	Gold	Intel	4	DDR3 SDRAM	32.0				1 Lithium ion batteries required. (included)		10.5 hours				19 volts	1600 MHz							https://www.amazon.com//ASUS-Lightweight-11-6-inch-Quad-Core-Subscription/dp/B01LT692RK/ref=sr_1_4876?qid=1575100792&s=computers-intl-ship&sr=1-4876
$569.99	13.3 inches		1.2 GHz Intel Core Solo	8 GB	128 GB flash_memory_solid_state		intel					Dell	7370-5224		Windows 10	2.48 pounds	12 x 0.6 x 8.3 inches	12 x 0.56 x 8.3 inches		Intel	1	DDR3 SDRAM	128 GB	Solid State			1 Lithium ion batteries required.			PC											https://www.amazon.com//Dell-Latitude-7370-5224-13-3-Notebook/dp/B0747VLTHV/ref=sr_1_4877?qid=1575100792&s=computers-intl-ship&sr=1-4877
	15.6 inches	1366 x 768	1.1 GHz Intel Celeron	8 GB DDR	1 TB mechanical_hard_drive		Intel		802.11ac			Lenovo	Lenovo Ideapad	NA	Windows 10 Home	5.95 pounds	10.2 x 14.9 x 0.9 inches	10.2 x 14.9 x 0.9 inches	Coral Red	Intel	2	DDR SDRAM		Serial ATA				HD (1366 X 768)	5 hours	Business Laptop		AC & Battery		2133 MHz							https://www.amazon.com//Flagship-Lenovo-Business-802-11ac-Bluetooth/dp/B07M6348BW/ref=sr_1_4878?qid=1575100792&s=computers-intl-ship&sr=1-4878
$4,100.00	1		8032	ddr4_sdram	SSD			Integrated		1		HP	NA	7BG72UT#ABA		69.9 pounds	21.9 x 8.5 x 17.5 inches	21.9 x 8.5 x 17.5 inches	silver, black		1		512.00	Serial ATA	0.01	None															https://www.amazon.com//HP-Workstation-Workstations-64-Bitnvidia-DVD-Writer/dp/B07W59WMTD/ref=sr_1_4879?qid=1575100792&s=computers-intl-ship&sr=1-4879
$425.88	15.6 inches		2.7 GHz	8 GB DDR4	1000 GB mechanical_hard_drive	AMD Radeon R7		Dedicated	802.11b/g, 802.11bgn, 802.11b			HP	HP Envy	1KS87UA	Windows 10	4.74 pounds	14.2 x 9.8 x 0.8 inches	14.2 x 9.8 x 0.8 inches	grey	AMD	2		8 GB		7200 RPM		1 Lithium Polymer batteries required. (included)		8.25 hours	Windows											https://www.amazon.com//HP-Envy-x360-FX-9800P-Radeon/dp/B073WQHXR8/ref=sr_1_4880?qid=1575100792&s=computers-intl-ship&sr=1-4880
$129.99	11.6 inches	1366x768	1.6 GHz Intel Celeron	2 GB DDR3	32 GB SSD	Intel HD Graphics	intel	Integrated	802.11bgn	1		HP	stream 11	stream 11	Windows 10	2.6 pounds	11.8 x 8.1 x 0.7 inches	11.81 x 8.1 x 0.72 inches	Purple	Intel	2	DDR3 SDRAM	32 GB	Solid State			1 Lithium ion batteries required.	1360x768	10 hours	PC		AC & Battery									https://www.amazon.com//HP-11-6-inch-Personal-Celeron-Bluetooth/dp/B01B3JK2BS/ref=sr_1_4881?qid=1575100795&s=computers-intl-ship&sr=1-4881
$1,259.00	15.6 inches	1920 x 1080	2.2 GHz Intel Core i7	32 GB	256 GB SSD	NVIDIA GeForce GTX 1060	Nvidia	Dedicated	802.11ac			Acer	Acer	Acer	Windows 10	5.51 pounds	15.3 x 10.5 x 1.1 inches	15.35 x 10.47 x 1.05 inches		Intel	6	DDR3 SDRAM		Serial ATA				1920 x 1080		PC											https://www.amazon.com//Premium-Acer-Predator-i7-8750H-Windows/dp/B07SRPBPRW/ref=sr_1_4882?qid=1575100795&s=computers-intl-ship&sr=1-4882
$459.00	15.6 inches	1920x1080	2.5 GHz Intel Core i5	12 GB DDR3	1 TB HDD 5400 rpm	Intel HD Graphics 620		Integrated	802.11ac			HP			Windows 10	4.5 pounds	15 x 10 x 1 inches	15 x 10 x 1 inches	Silver	Intel	2	DDR3 SDRAM		Serial ATA	5400 RPM		1 Lithium Polymer batteries required. (included)		8 hours	PC											https://www.amazon.com//HP-TouchScreen-Processor-Backlit-Keyboard-Bluetooth/dp/B0756Z7H9P/ref=sr_1_4883?qid=1575100795&s=computers-intl-ship&sr=1-4883
$849.99	13.3 inches	1920 x 1080	2.5 GHz Intel Core i5	8 GB DDR3	256 GB flash_memory_solid_state	Intel HD Graphics 620	intel	Integrated	802.11ac			Dell	Dell Xps	NA	Windows 10	2.9 pounds	7.9 x 12 x 0.6 inches	7.88 x 11.98 x 0.6 inches	Silver	Intel	2	DDR3 SDRAM	256 GB	Solid State			1 Lithium Polymer batteries required. (included)	1920x1080		PC		AC & Battery		1866 MHz							https://www.amazon.com//Dell-XPS-9360-Laptop-InfinityEdge/dp/B07CJVNSYH/ref=sr_1_4884?qid=1575100795&s=computers-intl-ship&sr=1-4884
$149.99	11.6 inches	1366x768	2.4 GHz Celeron N3050	4 GB DDR3	32 GB SSD	Integrated Graphics	Intel	Integrated	802.11ac, Bluetooth	2		Dell	Dell Inspiron 3168 2-in-1 11.6" Convertible Laptop PC	DEINSP3168/GREY	Windows 10 Home	3.06 pounds	7.9 x 11.5 x 0.8 inches	7.9 x 11.5 x 0.8 inches	Grey	Intel	1	DDR3 SDRAM	32 GB	Solid State			1 Lithium ion batteries required.	1366x768		PC	1 MP	AC & Battery		2.48 GHz							https://www.amazon.com//Dell-Inspiron-3168-Convertible-Laptop/dp/B077K934GB/ref=sr_1_4885?qid=1575100795&s=computers-intl-ship&sr=1-4885
$469.99	12 inches	1920 x 1080	1.7 GHz Intel Core i3	1 GB	64 GB	Intel HD Graphics 520			802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			Microsoft	Surface Pro	n/a	Windows 10	3.62 pounds	126 x 9.7 x 0.2 inches	126 x 9.7 x 0.2 inches		intel	2		64 GB				1 Lithium ion batteries required.		6 hours	Windows	14 MP	Corded-Electric									https://www.amazon.com//Microsoft-Surface-i5-4300u-Touchscreen-Renewed/dp/B00UZLVE68/ref=sr_1_4886?qid=1575100795&s=computers-intl-ship&sr=1-4886
$599.00	15.6 inches	1366 x 768	2.7 GHz Intel Core i7	4 GB	1 TB mechanical_hard_drive	Intel HD Graphics 620	intel	Integrated	802.11ac			Dell	Inspiron	15 5570	Windows 10	6.24 pounds	15 x 10.2 x 0.9 inches	14.96 x 10.15 x 0.89 inches		Intel	2	DDR4 SDRAM		Serial ATA	5400 RPM			1366x768		PC											https://www.amazon.com//Dell-Inspiron-15-Computer-Bluetooth/dp/B07QYQTS17/ref=sr_1_4887?qid=1575100795&s=computers-intl-ship&sr=1-4887
$154.99	12.5 inches	2560 X 1440p	8032	DDR3	flash_memory_solid_state				802.11ac			NUVISION		NEBP12-C464SBA		2.36 pounds	8.8 x 7.5 x 0.5 inches	8.8 x 7.5 x 0.5 inches	Black		1		64 GB				1 Lithium ion batteries required. (included)				2 MP			800 MHz							https://www.amazon.com//NuVision-Aluminum-Windows-Display-Fingerprint/dp/B07B6B6MRD/ref=sr_1_4888?qid=1575100795&s=computers-intl-ship&sr=1-4888
$999.49	15.6 inches		2.5 GHz Intel Core i5	8 GB DDR4	512 GB SSD	Intel HD Graphics 620	intel	Integrated	802.11ac			Lenovo	lenovo	NA	Windows 10	5.56 pounds	14.1 x 9.6 x 0.7 inches	14.1 x 9.6 x 0.7 inches	Black	Intel	2	SDRAM	512 GB	Serial ATA			1 Lithium ion batteries required. (included)			PC											https://www.amazon.com//Lenovo-Touchscreen-Flagship-Fingerprint-Bluetooth/dp/B07KXSKZ2T/ref=sr_1_4889?qid=1575100795&s=computers-intl-ship&sr=1-4889
$719.99	15.6 inches	1920x1080 (FHD Touch)	2.5 GHz Intel Core i7	8 GB DDR3	256 GB SSD	geforce	nvidia	dedicated	802.11a, Bluetooth, 802.11bgn	1		Lenovo	Flex	Lenovo i7 2 in 1 15 inch	Windows 10	4.63 pounds	15.2 x 10 x 0.9 inches	15.2 x 10 x 0.9 inches	Black	Intel Core i7-6500U	2	DDR3 SDRAM	256 GB	Solid State			1 Lithium ion batteries required.		6 hours	PC		AC & Battery									https://www.amazon.com//Lenovo-Touchscreen-i7-6500U-802-11ac-Bluetooth/dp/B01N4B1QGZ/ref=sr_1_4890?qid=1575100795&s=computers-intl-ship&sr=1-4890
$999.66	15.6 inches		3.5 GHz Intel Core 2 Quad	8 GB	256 GB flash_memory_solid_state	NVIDIA GeForce GTX 1050	nvidia	Dedicated	802.11b, 802.11g, 802.11n			Dell	Dell XPS	VYR3W-cr	Windows 10 Pro	3.97 pounds				Intel	4	DDR SDRAM	128	Solid State						PC				2400 MHz				20.5 x 17 x 4 inches			https://www.amazon.com//Dell-TOUCHSCREEN-i5-7300HQ-Certified-Refurbished/dp/B077TZGQZF/ref=sr_1_4891?qid=1575100795&s=computers-intl-ship&sr=1-4891
$1,511.99	14 inches	1920 x 1080 pixels	1.6 GHz Core i5 Family	8 GB DDR4	256 GB Flash Memory Solid State	Intel UHD Graphics 620	Intel	Integrated	802.11ac, Bluetooth			Dell	7400	7400	Windows 10 Pro	4.6 pounds	7.9 x 12.6 x 0.6 inches	7.87 x 12.59 x 0.59 inches		Intel	1	DDR4 SDRAM	256	Serial ATA	1000 RPM	No Optical Drive	1 Lithium ion batteries required. (included)			PC				1.6 GHz							https://www.amazon.com//Dell-14-Latitude-7400-Laptop/dp/B07S968NG3/ref=sr_1_4892?qid=1575100795&s=computers-intl-ship&sr=1-4892
$660.80	17.3 inches	HD+ ( 1600 x 900 )	2 GHz AMD R Series	8 GB DDR	128 GB Hybrid	AMD Radeon Vega 8	amd	Integrated	802.11ac			HP	HP	HP	Windows 10 Home	5.62 pounds	10.7 x 16.3 x 1 inches	10.72 x 16.33 x 0.96 inches		AMD	4	DDR SDRAM	128 GB	Solid State				HD+ ( 1600 x 900 )		Business Laptop		AC & Battery		2400 MHz		6 MB					https://www.amazon.com//Flagship-HP-Touchscreen-Laptop-Quad-Core-Bluetooth/dp/B07KS22WNB/ref=sr_1_4893?qid=1575100795&s=computers-intl-ship&sr=1-4893
$573.99	15.6 inches	1920x1080	2.5 GHz Intel Core i5	8 GB DDR	256 GB SSD	NVIDIA GeForce GTX 1050	Nvidia	Dedicated	802.11ac			Dell	DELL	DELL	Windows 10	5.84 pounds	10.8 x 15.2 x 1 inches	10.8 x 15.2 x 1 inches		Intel	4	DDR4 SDRAM	256 GB	Serial ATA				1920x1080		PC											https://www.amazon.com//Flagship-Dell-Inspiron-i5-7300HQ-Graphics/dp/B078663W9X/ref=sr_1_4894?qid=1575100795&s=computers-intl-ship&sr=1-4894
$699.98	15.6 inches	1920 x 1080	1.6 GHz Intel Core i5	8 GB sdram	256 GB SSD	Intel UHD Graphics 620	Intel	Shared	Bluetooth, 802.11a	1	3	Lenovo	Lenovo Ideapad	81F5000EUS	Windows 10	10.6 ounces	9.5 x 14 x 0.8 inches	9.53 x 14 x 0.76 inches	Silver	Intel	4	SDRAM	256.00	Solid State	5400	BD-R	1 Lithium ion batteries required. (included)	1920 x 1080		PC					Click here for Proposition 65 warning	2 GB					https://www.amazon.com//Lenovo-i5-8250UU-256GB-SSD-Anti-glare-81F5000EUS/dp/B07B3R66Y2/ref=sr_1_4896?qid=1575100795&s=computers-intl-ship&sr=1-4896
$1,920.88	15.6 inches	1920 x 1080 pixels	8032	16 GB DDR3	512 GB flash_memory_solid_state	NVIDIA GeForce GTX 1060	nvidia	Dedicated	802.11ac	1	1	GIGABYTE	Gigabyte	Aero 15W v8-BK4	Windows 10 Home	4.41 pounds			Black		1	DDR4 SDRAM	512.00	Solid State	1 RPM	No Optical Drive												17 x 12.2 x 3.6 inches			https://www.amazon.com//GIGABYTE-Aero-15W-v8-BK4-i7-8750H/dp/B07CD9VVVZ/ref=sr_1_4897?qid=1575100798&s=computers-intl-ship&sr=1-4897
$499.00	14 inches	1366x768	2.6 GHz Intel Core i7	16 GB DDR4	512 GB SSD	Intel HD Graphics 520	intel	Integrated	802.11a, Bluetooth			Dell	Dell Latitude 7000 E7470	na	Windows 10	3.32 pounds	9.1 x 13.2 x 0.8 inches	9.13 x 13.19 x 0.76 inches	Black	Intel	2	DDR SDRAM	256 GB	ATA			1 Lithium Polymer batteries required.	1366x768		PC		AC & Battery		2133 MHz					1		https://www.amazon.com//Dell-Latitude-Business-Ultrabook-i7-6600U/dp/B01F94T552/ref=sr_1_4898?qid=1575100798&s=computers-intl-ship&sr=1-4898
$1,640.52	13.3 inches	3840x2160 pixels	1.6 GHz Intel Core i5	8 GB LPDDR3	Flash Memory Solid State		intel	Integrated	802.11g			Dell	Dell XPS	TK2GY	Windows 10 Pro	2.67 pounds	7.8 x 11.9 x 0.5 inches	7.8 x 11.9 x 0.5 inches		Intel	4		256.0			No Optical Drive	1 Lithium ion batteries required. (included)			PC		Corded-Electric				8 GB					https://www.amazon.com//Dell-Touchscreen-i5-8250U-Quad-Core-TK2GY/dp/B079CB3S4J/ref=sr_1_4899?qid=1575100798&s=computers-intl-ship&sr=1-4899
$750.00	13.3 inches		4 GHz Intel Core i7	16 GB DDR4	256 GB flash_memory_solid_state	Intel HD Graphics 620		Integrated	802.11ac			Dell	Dell 13.3	Dell Inspiron	Windows 10	5.48 pounds	12.8 x 8.8 x 0.8 inches	12.76 x 8.85 x 0.77 inches	grey	Intel	4	SDRAM	256 GB	Serial ATA						PC											https://www.amazon.com//Dell-Inspiron-Touchscreen-Quad-Core-MaxxAudio/dp/B078W11Y7D/ref=sr_1_4901?qid=1575100798&s=computers-intl-ship&sr=1-4901
$379.98	15.6 inches	HD (1366 x 768) Anti-Glare WLED	2.1 GHz Intel Core i3	8 GB DDR	128 GB PCIe SSD	Intel UHD Graphics 620	Intel	Integrated	Bluetooth			Lenovo	Lenovo S340-15IWL	Lenovo IdeaPad S340	Windows 10 Home	4.41 pounds	9.6 x 14.8 x 0.7 inches	9.6 x 14.8 x 0.7 inches	Platinum Grey	Intel	2	DDR SDRAM		Solid State			1 Lithium ion batteries required. (included)	1366x768	8.5 hours	Business and School Laptop		AC & Battery									https://www.amazon.com//Lenovo-S340-Flagship-Anti-Glare-Bluetooth/dp/B07WRCTJXY/ref=sr_1_4902?qid=1575100798&s=computers-intl-ship&sr=1-4902
$692.00	15.6 inches	Full HD (1920 x 1080)	2.3 GHz Intel Core i5	8 GB DDR	1 TB HDD 7200 rpm	NVIDIA GeForce GTX 1050	Intel	Dedicated	802.11ac	2		Acer	Acer Nitro	Acer Nitro	Windows 10 Home	5.95 pounds	10.5 x 15.4 x 1.1 inches	10.5 x 15.4 x 1.1 inches	Black	Intel	4	DDR SDRAM		Serial ATA	7200.00		1 Lithium ion batteries required. (included)	Full HD (1920 x 1080)	5.5 hours	Gaming Laptop		AC & Battery		2400 MHz							https://www.amazon.com//Flagship-Acer-Nitro-Quad-Core-i7-7700HQ/dp/B07JFS7Y2P/ref=sr_1_4903?qid=1575100798&s=computers-intl-ship&sr=1-4903
$69.88	10.1 inches	1280*800	1.3 GHz	1 GB	16 GB	Mali 400		Integrated				Azpen	A1050	A1050	Android 6.0 Marshmallow	1.85 pounds	1.5 x 8 x 13 inches	1.5 x 8 x 13 inches		NA	4	DDR3 SDRAM	16 GB				1 Lithium ion batteries required. (included)	1280x800	7 hours	Android	2 MP	Battery									https://www.amazon.com//Azpen-A1050-Storage-Bluetooth-Android/dp/B075KPGNQ8/ref=sr_1_4904?qid=1575100798&s=computers-intl-ship&sr=1-4904
$782.10	15.6 inches	1920 x 1080 pixels	3 GHz AMD FX	8 GB DDR4	1000 GB Hybrid Drive	AMD Radeon RX 460	NVIDIA	Dedicated	802.11a, 802.11b, 802.11g	1	1	ASUS	FX550IU-WSFX	FX550IU-WSFX	Windows 10	5.4 pounds	9.9 x 15 x 1.2 inches	9.9 x 15 x 1.2 inches		AMD	4	DDR4 SDRAM	128.0	Serial ATA-600	5400 RPM	No Optical Drive	1 Lithium ion batteries required. (included)	1920 x 1080					19 volts	2133 MHz		6 GB					https://www.amazon.com//FX550IU-WSFX-Gaming-Laptop-Graphics-Windows/dp/B071FR526X/ref=sr_1_4905?qid=1575100798&s=computers-intl-ship&sr=1-4905
$529.00	15.6 inches	1920 x 1080	1.6 GHz	8 GB DDR4	256 GB flash_memory_solid_state	Intel		Integrated				Lenovo	Lenovo Flex 5	Lenovo Flex 5	Windows 10	4.41 pounds	4 x 17 x 21 inches	4 x 17 x 21 inches		Intel	1	DDR SDRAM	256 GB				1 Lithium ion batteries required. (included)			PC											https://www.amazon.com//Lenovo-Flex-Touchscreen-i5-8250U-Windows/dp/B07QNLCK15/ref=sr_1_4906?qid=1575100798&s=computers-intl-ship&sr=1-4906
$899.99	15.6 inches		1.8 GHz Intel Core i7	16 GB DDR4	512 GB SSD	NVIDIA GeForce MX130		Dedicated	802.11ac			Lenovo	Lenovo Ideapad Flex5-1570	80XB000DUS	Windows 10 Pro	4.4 pounds	14.3 x 9.7 x 0.8 inches	14.33 x 9.72 x 0.78 inches	Black	Intel	1	DDR4 SDRAM	512 GB	Solid State			1 Lithium ion batteries required.	1920x1080		PC						2 GB					https://www.amazon.com//Lenovo-Touchscreen-i7-8550U-GeForce-Professional/dp/B07DBGHHTK/ref=sr_1_4910?qid=1575100798&s=computers-intl-ship&sr=1-4910
$80.95	8 inches	1280*800 pixels	1.33 GHz Intel Atom	1 GB DDR3	16 GB				802.11bgn			ASUS	ASUS MeMO Pad 8	ME181C-A1-LB	Android 4.4 KitKat	11.2 ounces	0.3 x 4.9 x 8.3 inches	0.3 x 4.9 x 8.3 inches	Blue	intel	4	DDR3 SDRAM	16 GB				1 Lithium ion batteries required. (included)			Android	5 MP										https://www.amazon.com//ASUS-ME181C-A1-LB-8-Inch-Tablet-Light/dp/B00OHJXXAO/ref=sr_1_4912?qid=1575100798&s=computers-intl-ship&sr=1-4912
$656.00	15.6 inches		AMD Ryzen 7	8 GB	flash_memory_solid_state	AMD Radeon RX Vega 10	amd	integrated	802.11bgn, Bluetooth			Dell	Inspiron 7000	Inspiron 7000	Windows 10	5.2 pounds	12.7 x 8.8 x 0.7 inches	12.7 x 8.8 x 0.7 inches		AMD	2	DDR3 SDRAM	512 GB				1 Lithium ion batteries required.														https://www.amazon.com//Dell-Inspiron-7000-Touchscreen-Bluetooth/dp/B01EMES6QY/ref=sr_1_4913?qid=1575100801&s=computers-intl-ship&sr=1-4913
$325.00	15.6 inches	1366 x 768	1.1 GHz Pentium	4 GB	1 TB HDD	Intel UHD Graphics 605	Intel		802.11ac			Lenovo	Lenovo	Lenovo	Windows 10	4.85 pounds	14.9 x 10.2 x 0.9 inches	14.9 x 10.2 x 0.9 inches		Intel	4	DDR3 SDRAM		Serial ATA			1 Lithium ion batteries required. (included)	1366 x 768		PC											https://www.amazon.com//Flagship-Premium-Lenovo-Pentimum-802-11AC/dp/B07TF6CQPT/ref=sr_1_4914?qid=1575100801&s=computers-intl-ship&sr=1-4914
$309.00	15.6 inches	1366x768	1.8 GHz Pentium	8 GB	128 GB flash_memory_solid_state	Intel HD Graphics 610	intel		802.11ac			Lenovo	S145	S145	Windows 10	5.25 pounds	14.3 x 9.9 x 0.8 inches	14.3 x 9.9 x 0.78 inches		Intel	2	DDR4 SDRAM	128 GB	Solid State				1366x768		PC											https://www.amazon.com//Lenovo-S145-Computer-Processor-Bluetooth/dp/B07WJ11FM5/ref=sr_1_4915?qid=1575100801&s=computers-intl-ship&sr=1-4915
$299.00	15.6 inches	1366 x 768	1.1 GHz Pentium	8 GB	1 TB HDD	Intel UHD Graphics 605	Intel		802.11ac			Lenovo	Lenovo	Lenovo	Windows 10	4.85 pounds	14.9 x 10.2 x 0.9 inches	14.9 x 10.2 x 0.9 inches		Intel	4	DDR3 SDRAM		Serial ATA				1366 x 768		PC											https://www.amazon.com//Flagship-Premium-Lenovo-Pentimum-802-11AC/dp/B07TD1LFC4/ref=sr_1_4916?qid=1575100801&s=computers-intl-ship&sr=1-4916
$449.99	17.3 inches	1400 x 900	2.1 GHz Intel Core i3	8 GB	128 GB PCIE SSD	Intel UHD Graphics 620	intel	Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			Lenovo	L340	L340	Windows 10	7 pounds	12.8 x 9.2 x 0.7 inches	12.8 x 9.2 x 0.7 inches		Intel	2	DDR4 SDRAM		Solid State			1 Lithium Polymer batteries required.	1400 x 900		PC											https://www.amazon.com//Lenovo-L340-Computer-i3-8145U-Bluetooth/dp/B07V8SVZZR/ref=sr_1_4917?qid=1575100801&s=computers-intl-ship&sr=1-4917
$269.00	15.6 inches		1.1 GHz Intel Celeron D	8 GB	1000 GB	INTEL	intel	Integrated	802.11ac			Lenovo	LENOVO	NA	Windows 10	4.85 pounds	10.2 x 14.9 x 0.9 inches	10.2 x 14.9 x 0.9 inches	Platinum Gray	Intel	4	SDRAM								PC											https://www.amazon.com//Lenovo-Energy-efficient-Processor-Quad-core-Refurbished/dp/B07HHTFSSX/ref=sr_1_4918?qid=1575100801&s=computers-intl-ship&sr=1-4918
$329.00	15.6 inches	1366x768	Pentium	6 GB DDR3	flash_memory_solid_state	integrated intel hd graphics	Intel	Integrated	802.11bgn	1		HP	hp 15 notebook	hp 15 notebook	Windows 10	4.5 pounds	10.9 x 15.3 x 1 inches	10.9 x 15.3 x 1 inches		Intel	2	DDR3 SDRAM	128 GB				1 Lithium ion batteries required. (included)	1366x768	6 hours			AC & Battery									https://www.amazon.com//Touchscreen-Flagship-Notebook-Computer-Quad-Core/dp/B078NG5S29/ref=sr_1_4919?qid=1575100801&s=computers-intl-ship&sr=1-4919
$1,259.99	0.01	1920x1080 pixels	3.2 GHz Intel Core i7	16 GB DDR4	2 TB Mechanical Hard Drive	NVIDIA GeForce GTX 1060		Integrated		2	7	Dell	XPS 8930 Desktop Computer	SBR17	Windows 10	22.1 pounds	7.1 x 14 x 15.2 inches	7.09 x 14.02 x 15.22 inches	Black	Intel	6	GDDR5	256.00	Solid State	7200 RPM	DVD+RW				PC						6 GB					https://www.amazon.com//Dell-Desktop-Computer-Intel-i7-8700/dp/B07DWB4J5C/ref=sr_1_4920?qid=1575100801&s=computers-intl-ship&sr=1-4920
$109.99	14 inches	1366x768 pixels	2.16 GHz None	4 GB DDR	emmc	Intel HD Graphics	intel	Integrated	802.11ac	2	1	HP	Chromebook	14-ak040nr	Chrome OS	3.74 pounds	9.4 x 13.5 x 0.7 inches	9.45 x 13.54 x 0.7 inches		Intel	2		16.0				1 Lithium Polymer batteries required. (included)							1600 MHz							https://www.amazon.com//HP-Chromebook-Celeron-Chrome-14-ak040nr/dp/B01KWCIBX8/ref=sr_1_4921?qid=1575100801&s=computers-intl-ship&sr=1-4921
$899.00			3 GHz Intel Core i7	16 GB	128 GB HDD 7200 rpm	NVIDIA				2		HP	GeForce GTX 1050		Windows 10	11.35 pounds	6.7 x 10.9 x 13.3 inches	6.69 x 10.9 x 13.3 inches	Silver	Intel	8	DDR SDRAM		Serial ATA	7200.00					PC											https://www.amazon.com//Premium_HP-Pavilion-DVD-Writer-DisplayPort-Bluetooth/dp/B07VFLCYZC/ref=sr_1_4922?qid=1575100801&s=computers-intl-ship&sr=1-4922
$399.99	15.6 inches	1366x768	1.9 GHz Pentium	4 GB DDR3L	500 GB mechanical_hard_drive	Intel® HD Graphics (UMA)	intel	Integrated	802.11bgn	2	2	Dell	Inspiron	i15RV-954BLK	Windows 8	6.8 pounds	19.3 x 13.2 x 3.3 inches	19.29 x 13.15 x 3.31 inches		Intel	2	DDR3 SDRAM			5400 RPM		1 Lithium ion batteries required. (included)						14.8 volts	1600 MHz							https://www.amazon.com//Dell-inspiron-i15RV-954BLK-Discontinued-Manufacturer/dp/B00HRLSSKO/ref=sr_1_4923?qid=1575100801&s=computers-intl-ship&sr=1-4923
$599.00	10.5 inches	2560 x 1600	2.35 GHz	6 GB	256 GB	Adreno 540			802.11abg, Bluetooth, 802.11ac			Samsung		SM-T830	Android 8.0 Oreo	1.06 pounds	9.8 x 6.5 x 0.3 inches	9.8 x 6.46 x 0.28 inches	Clear, Blue, Black		1	DDR3 SDRAM	64 GB				1 Lithium ion batteries required. (included)	2560 x 1600	16 hours	Android	13 MP										https://www.amazon.com//Samsung-SM-T830-International-Version-Warranty/dp/B07P8SVNZB/ref=sr_1_4925?qid=1575100801&s=computers-intl-ship&sr=1-4925
$649.00	15.6 inches	1366x768	2.5 GHz Intel Core i7	12 GB DDR3	1 TB HDD 5400 rpm	Intel HD Graphics 520	intel	integrated	802.11ac	2		HP	FBA_767000000000	FBA_767000000000	Windows 10	4.73 pounds	15.1 x 10 x 0.8 inches	15.12 x 10.02 x 0.85 inches	Silver	Intel	2	DDR3 SDRAM		Serial ATA	5400 RPM		1 Lithium Polymer batteries required.	1366x768	7 hours	PC		AC & Battery									https://www.amazon.com//HP-Flagship-i7-6500U-Bluetooth-Graphics/dp/B01LZ30WLO/ref=sr_1_4926?qid=1575100801&s=computers-intl-ship&sr=1-4926
$972.99	15.6 inches		2.8 GHz Intel Core i7	16 GB	2256 GB Hybrid	NVIDIA GeForce GTX 1050	nvidia	Dedicated	802.11ac			ASUS		asus 15.6	Windows 10	8.63 pounds	15.3 x 10.5 x 0.9 inches	15.35 x 10.47 x 0.93 inches		Intel	4	DDR4 SDRAM	256 GB	Serial ATA			1 Lithium Polymer batteries required. (included)			PC											https://www.amazon.com//Performance-i7-7700HQ-GeForce-Backlit-Keyboard/dp/B079Z55X5W/ref=sr_1_4927?qid=1575100801&s=computers-intl-ship&sr=1-4927
$299.00	11.6 inches	1366 x 768	2.5 GHz Pentium	4 GB DDR3L_SDRAM	500 GB HDD 5400 rpm	Intel Integrated Graphics	intel	integrated				Dell	Dell Inspiron I3147	Dell Inspiron I3147	other	3.1 pounds	11.8 x 7.9 x 0.8 inches	11.8 x 7.9 x 0.8 inches	Gray/Silver	AMD	2	DDR3 SDRAM		Serial ATA	5400 RPM		1 Lithium ion batteries required.	1366 x 768	7.5 hours	PC		AC									https://www.amazon.com//Dell-Inspiron-I3147-Convertible-Touch-Screen/dp/B017ATZMYM/ref=sr_1_4928?qid=1575100801&s=computers-intl-ship&sr=1-4928
$749.49	14 inches	1366x768	2.4 GHz Intel Core i3	4 GB	256 GB SSD	Intel HD Graphics 620	Intel	Integrated				HP	HP	HP	Windows 10 Home	3.15 pounds	12.8 x 8.9 x 0.8 inches	12.8 x 8.9 x 0.8 inches		Intel	2	DDR3 SDRAM	256 GB	Serial ATA			1 Lithium ion batteries required.	1366x768		PC											https://www.amazon.com//HP-Premium-i3-7100U-Bluetooth-Windows/dp/B07VP8SHLS/ref=sr_1_4929?qid=1575100803&s=computers-intl-ship&sr=1-4929
